0,0,0
43,46,57
55,53,55
46,12,9
1,2,7
50,19,23
46,0,6
52,16,11
8,27,9
2,50,2
43,7,55
29,42,42
18,29,27
13,16,31
22,9,33
21,59,44
37,38,44
35,30,53
46,31,20
56,33,2
50,16,1
45,45,44
27,56,5
46,9,13
17,24,15
42,45,14
27,14,44
3,50,7
48,36,38
8,24,3
11,14,19
12,0,56
48,19,52
46,6,54
59,15,10
14,58,47
21,17,2
57,12,52
56,1,20
26,1,45
29,4,59
40,9,51
37,57,11
21,35,9
7,27,16
17,33,6
5,46,23
59,44,28
51,32,29
3,59,30
48,28,35
40,9,36
23,38,25
26,51,1
35,59,28
44,8,1
50,13,40
14,4,24
34,47,56
3,51,47
25,39,16
52,11,17
28,35,47
54,1,38
55,29,37
15,13,38
8,3,51
48,9,56
4,43,43
53,38,26
40,4,58
48,48,9
57,17,36
44,3,30
23,50,59
52,5,4
30,5,59
14,46,9
2,42,44
4,8,11
2,48,59
3,46,8
40,22,11
10,45,1
1,30,58
5,0,56
4,6,42
5,8,16
42,38,44
57,42,44
0,36,32
59,39,10
8,11,33
11,21,10
13,14,40
3,19,41
59,16,39
33,13,48
50,55,26
26,44,0
10,44,36
42,36,7
45,36,19
18,47,32
28,52,39
9,56,50
42,47,6
21,13,12
1,55,59
19,21,44
19,31,20
47,5,48
47,50,24
58,0,4
22,29,56
1,30,44
52,12,32
50,25,45
2,19,40
2,38,53
38,50,24
50,29,21
39,16,12
55,14,4
59,29,33
56,30,55
40,22,59
4,13,25
41,7,44
13,1,14
6,39,4
22,22,26
44,1,42
48,48,49
52,48,18
18,36,48
30,54,7
20,6,48
17,29,10
43,13,3
17,53,52
6,45,32
16,55,8
57,9,16
0,14,21
0,44,8
7,50,8
16,2,14
57,19,43
59,2,48
3,20,41
47,18,19
11,35,14
19,32,15
27,24,29
49,24,5
49,23,55
57,40,58
11,29,9
47,28,12
9,10,42
20,21,9
26,32,41
42,0,57
3,41,21
9,30,45
56,27,17
54,30,46
4,17,14
8,45,38
32,46,40
6,6,54
16,32,18
49,6,10
47,10,51
0,11,13
37,7,32
46,54,55
32,50,12
39,50,49
9,14,35
41,20,33
27,28,58
46,10,4
56,57,6
40,49,17
45,19,17
18,5,3
13,38,53
17,9,43
7,18,57
34,51,9
0,19,38
58,5,48
54,53,37
1,33,18
10,19,37
19,29,43
22,34,13
7,51,22
42,50,32
31,17,15
41,17,34
11,7,31
51,1,17
20,54,50
38,5,1
16,16,22
51,39,56
4,38,40
18,21,30
42,52,39
57,25,56
24,36,3
47,19,57
4,39,51
47,10,56
40,18,5
3,9,44
51,5,14
31,15,35
33,38,45
22,2,22
17,50,33
14,46,13
6,33,23
54,14,33
59,17,42
35,8,39
50,32,54
17,26,35
37,51,13
23,13,8
45,31,50
18,37,36
23,35,10
11,21,33
45,49,33
24,31,5
10,48,23
45,26,15
59,49,20
7,26,43
57,36,21
25,0,56
51,42,32
16,19,21
50,44,52
47,54,40
3,32,58
10,23,47
30,30,13
14,19,42
27,44,42
15,12,4
34,3,38
6,20,58
19,2,42
3,41,28
43,44,52
42,54,15
21,17,45
27,31,56
9,58,41
43,13,53
47,39,48
26,37,0
24,48,54
58,51,36
18,35,12
11,9,59
26,30,16
4,49,39
0,58,29
33,41,34
18,29,6
7,47,43
7,11,32
2,1,15
30,19,50
34,30,51
33,57,14
41,1,3
20,53,2
41,27,35
16,45,4
22,52,51
57,52,54
21,46,55
37,8,15
19,42,37
3,16,34
17,49,27
12,2,21
6,43,40
42,51,25
46,5,10
30,3,54
16,16,40
12,45,48
19,5,30
56,0,38
23,17,28
42,21,30
55,28,5
35,10,57
53,48,2
3,10,57
57,27,6
29,31,51
9,50,48
39,38,48
10,53,57
52,31,47
57,59,57
46,52,37
41,55,48
38,44,15
36,5,46
28,14,28
8,53,58
57,55,52
54,25,20
5,17,43
52,7,42
41,53,34
19,34,21
59,5,57
14,41,2
52,1,16
2,59,57
54,53,15
6,51,24
50,43,31
32,17,17
59,28,51
20,27,56
10,41,30
12,25,31
29,37,41
23,31,32
20,26,18
27,24,9
52,14,44
15,39,1
32,38,29
16,50,56
4,0,29
34,5,54
6,26,23
39,49,55
12,1,13
30,29,29
31,13,44
15,28,15
17,53,53
38,9,35
35,13,28
56,40,33
43,46,51
58,17,40
45,21,41
50,43,10
20,14,15
4,22,44
19,39,29
4,9,38
31,36,43
59,33,23
24,16,1
15,6,11
29,42,8
31,2,14
47,58,36
23,17,7
52,13,17
22,45,53
57,36,18
21,53,26
14,0,33
