0,0,0
1,2,7
0,0,0
1,5,2
0,0,0
1,6,4
0,0,0
2,1,3
0,0,0
1,2,7
0,0,0
1,5,2
0,0,0
1,6,4
0,0,0
2,1,3
43,46,57
39,49,55
43,46,57
39,43,58
43,46,57
40,43,56
43,46,57
38,45,55
43,46,57
42,47,50
43,46,57
42,48,52
43,46,57
37,44,59
43,46,57
44,51,52
43,46,57
42,39,56
43,46,57
47,45,51
43,46,57
46,41,52
43,46,57
46,52,55
43,46,57
49,44,54
43,46,57
45,44,56
43,46,57
41,52,55
43,46,57
38,44,53
43,46,57
41,49,50
43,46,57
44,51,58
55,53,55
57,52,54
55,53,55
57,59,57
55,53,55
57,55,52
55,53,55
53,50,57
55,53,55
50,49,51
55,53,55
53,56,50
55,53,55
58,54,59
55,53,55
58,55,53
55,53,55
59,52,54
55,53,55
51,51,53
55,53,55
59,51,57
55,53,55
54,49,57
46,12,9
52,16,11
46,12,9
43,13,3
46,12,9
49,6,10
46,12,9
43,16,12
46,12,9
50,11,5
46,12,9
49,10,11
46,12,9
49,6,6
46,12,9
41,6,8
46,12,9
47,6,4
46,12,9
40,10,7
46,12,9
52,13,11
46,12,9
49,9,5
46,12,9
44,6,12
46,12,9
50,7,13
46,12,9
49,14,10
46,12,9
45,9,12
46,12,9
42,14,12
46,12,9
50,11,10
46,12,9
49,17,14
46,12,9
47,7,11
46,12,9
48,7,4
46,12,9
50,18,12
46,12,9
40,13,5
46,12,9
49,16,3
46,12,9
48,6,7
46,12,9
42,10,4
46,12,9
44,9,16
46,12,9
44,11,5
46,12,9
45,15,6
46,12,9
47,9,15
46,12,9
43,15,15
46,12,9
42,13,12
1,2,7
0,0,0
1,2,7
4,8,11
1,2,7
0,5,2
1,2,7
6,0,2
1,2,7
0,0,5
1,2,7
6,4,9
1,2,7
2,1,3
50,19,23
47,18,19
50,19,23
54,25,20
50,19,23
54,23,26
50,19,23
53,13,22
50,19,23
47,24,22
50,19,23
45,24,26
50,19,23
48,21,16
50,19,23
47,20,19
50,19,23
55,18,29
50,19,23
49,15,19
50,19,23
53,15,24
50,19,23
46,23,18
50,19,23
53,18,16
50,19,23
51,20,20
50,19,23
52,13,21
50,19,23
54,16,24
50,19,23
53,14,28
50,19,23
53,24,18
46,0,6
49,6,10
46,0,6
41,1,3
46,0,6
47,6,4
46,0,6
48,7,4
46,0,6
47,3,0
46,0,6
45,2,7
46,0,6
48,6,7
46,0,6
45,1,8
52,16,11
46,12,9
52,16,11
59,15,10
52,16,11
55,14,4
52,16,11
58,20,8
52,16,11
58,17,10
52,16,11
54,11,14
52,16,11
54,21,15
52,16,11
54,10,14
52,16,11
49,14,10
52,16,11
50,11,10
52,16,11
53,12,7
52,16,11
58,17,15
52,16,11
49,17,14
52,16,11
53,22,13
52,16,11
50,18,12
52,16,11
53,18,16
52,16,11
55,12,6
52,16,11
54,11,7
52,16,11
56,13,12
52,16,11
54,14,16
8,27,9
11,21,10
8,27,9
6,29,12
8,27,9
11,23,3
8,27,9
10,20,11
8,27,9
4,22,5
8,27,9
11,31,8
8,27,9
9,23,4
8,27,9
10,23,14
8,27,9
12,23,12
8,27,9
7,31,14
8,27,9
14,22,8
8,27,9
7,31,5
8,27,9
11,29,7
8,27,9
15,24,10
8,27,9
7,24,14
8,27,9
5,24,3
8,27,9
3,31,13
8,27,9
4,24,5
8,27,9
6,29,6
8,27,9
6,34,6
8,27,9
12,22,6
8,27,9
5,25,14
8,27,9
12,29,3
8,27,9
4,24,6
8,27,9
10,28,12
8,27,9
4,23,7
8,27,9
3,31,7
8,27,9
7,24,14
8,27,9
11,23,10
2,50,2
3,46,8
